epoch,train_mse_norm,val_mse_norm,val_mae_raw,val_rmse_raw,val_r2_raw,best_val_mse_norm,best_epoch
1,0.014648839910277876,0.08509687886777403,0.21729991981857696,0.26545946091711187,-0.3640837710524585,0.08509687886777403,1
5,0.013860054835045741,0.0858863126205277,0.2169280345502652,0.2666879365120571,-0.3767382160189492,0.08509687886777403,1
10,0.011152798278351961,0.12229432716196137,0.26625438222759645,0.3182325129882555,-0.9603504757515331,0.08509687886777403,1
15,0.008721132510168067,0.15927544998681928,0.3106870981423478,0.36317488918437774,-1.5531495319786104,0.08509687886777403,1
20,0.00832451537440894,0.15104980197694873,0.3049016856833508,0.3536726466905678,-1.4212942500229806,0.08509687886777403,1
25,0.008109491444745306,0.15158104532400243,0.30655724156843983,0.3542940355591756,-1.4298099610318595,0.08509687886777403,1
30,0.007871706827969874,0.15010309416679024,0.3058003249137025,0.35256257923880546,-1.4061187373961035,0.08509687886777403,1
