epoch,train_mse_norm,train_loss_total,val_mse_norm,val_mae_raw,val_rmse_raw,val_r2_raw,best_val_mse_norm,best_epoch
1,0.005771652815189768,0.0057716527953743935,0.101608155071418,0.23371304097928502,0.29007191041988406,-0.6287558037806147,0.101608155071418,1
10,0.0036047833397033365,0.00360478344373405,0.10875092462329518,0.24154007983835116,0.3000943862862994,-0.7432527883436177,0.101608155071418,1
20,0.0022554334173811243,0.0022554334718734026,0.1159975842045333,0.24954968559114557,0.3099316045190842,-0.85941510664049,0.101608155071418,1
30,0.0017339530143331975,0.0017339530168101192,0.12152246690963135,0.25591474051538265,0.3172266616283469,-0.9479777300323879,0.101608155071418,1
40,0.0015990854577815278,0.0015990854008123279,0.1250411308690923,0.260130279519056,0.3217865138141984,-1.004381119519162,0.101608155071418,1
50,0.0015690881521143812,0.0015690881991758943,0.12678739584464607,0.2622327448976667,0.32402568185091657,-1.0323733531334116,0.101608155071418,1
60,0.0015434383394870353,0.0015434382949024439,0.1273442909145144,0.26289739321721234,0.3247365198223159,-1.0413002554721786,0.101608155071418,1
70,0.0015082045438441825,0.001508204499259591,0.12737871036504175,0.26291877528554514,0.3247804028159505,-1.0418519914993705,0.101608155071418,1
80,0.0014678666249234625,0.0014678665902465582,0.12741393153021363,0.2629350230882042,0.32482530181648395,-1.0424165788314528,0.101608155071418,1
90,0.001422882080078125,0.001422882080078125,0.12774141262764802,0.26330163420815217,0.3252424692394204,-1.0476660269461227,0.101608155071418,1
100,0.0013707067738188074,0.0013707068283110857,0.12844015009656182,0.26411289671533994,0.32613078403450785,-1.0588666309430397,0.101608155071418,1
