epoch,train_mse_norm,val_mse_norm,val_mae_raw,val_rmse_raw,val_r2_raw,best_val_mse_norm,best_epoch
1,0.01473541565681413,0.0878430517698124,0.21916849134783992,0.2697087895686413,-0.4081043031567586,0.0878430517698124,1
5,0.011577487086593095,0.09593351354758296,0.22804185272831656,0.28185553492658866,-0.5377925803087942,0.0878430517698124,1
10,0.008926550810367374,0.11095013466571346,0.244919307341701,0.3031135208410824,-0.7785056291988002,0.0878430517698124,1
15,0.008582185748648845,0.10166094386314539,0.23588714199630834,0.29014725160351024,-0.6296019962032611,0.0878430517698124,1
20,0.008338185382407095,0.10810336219034641,0.2415211414349706,0.29919958928752866,-0.7328725086285277,0.0878430517698124,1
25,0.008006830873378253,0.09276689288780504,0.22900485512457391,0.27716468750616724,-0.487032365497692,0.0878430517698124,1
30,0.007777609041560505,0.08766671442880954,0.22477802130736793,0.2694379450235196,-0.4052776553608235,0.08766671442880954,30
35,0.007611623128591958,0.08367841985002138,0.2213525868403284,0.2632377242680135,-0.3413461929912718,0.08367841985002138,35
40,0.007415704287083472,0.07874031277477637,0.21738373667001723,0.25535240944387483,-0.262189450573872,0.07874031277477637,40
45,0.007272852837281712,0.07972275769355376,0.219608777824201,0.2569404904759696,-0.2779378209898953,0.07874031277477637,40
50,0.00699903298232515,0.07910126239326437,0.21988811784668963,0.2559370144935316,-0.2679753915307914,0.07874031277477637,40
55,0.006760171322562432,0.08063589700086139,0.22381958936390117,0.2584077907231384,-0.29257523808886887,0.07874031277477637,40
60,0.006478022373581337,0.08035662732339015,0.22613948953779114,0.2579599253498484,-0.2880986081600849,0.07874031277477637,40
