epoch,train_mse_norm,train_loss_total,val_mse_norm,val_mae_raw,val_rmse_raw,val_r2_raw,best_val_mse_norm,best_epoch
1,0.0006294256020337344,0.0006294256022665649,0.0002506503106996768,0.046017797833139244,0.060161370384187,0.9609573537430277,0.0002506503106996768,1
10,0.00014066263847053052,0.0001406626389361918,0.0008249116806967302,0.08638843785632741,0.10914084784928502,0.8715073009373755,0.0002506503106996768,1
20,0.00013307826593518258,0.00013307826581876724,0.0009732448653274303,0.0954340809448199,0.11854811620320291,0.8484021228925511,0.0002506503106996768,1
30,0.00013335844222456218,0.00013335844222456218,0.0010127144421925305,0.09781832776286387,0.12092806351405838,0.8422541284091019,0.0002506503106996768,1
40,0.00013347758166491985,0.00013347758178133517,0.00110680247093112,0.10365882576866586,0.12642083562548295,0.8275984688457747,0.0002506503106996768,1
50,0.00013268594164401293,0.00013268594176042825,0.001084021649680053,0.10216920863498341,0.12511303937391963,0.831146932612151,0.0002506503106996768,1
60,0.00012925924081355335,0.00012925924081355335,0.001062577519490298,0.10099456479603597,0.12386936417629629,0.834487186158815,0.0002506503106996768,1
70,0.00013069351855665446,0.0001306935187894851,0.0010559383636997812,0.10022074458273975,0.12348177991843509,0.8355213369254768,0.0002506503106996768,1
80,0.0001296873986721039,0.00012968739832285793,0.0009986279542239164,0.09728205468166959,0.12008408578572496,0.8444483158618381,0.0002506503106996768,1
90,0.00012914103269577026,0.00012914103304501623,0.001018141601852631,0.09883379909125244,0.12125165867216826,0.8414087647061885,0.0002506503106996768,1
100,0.00012726006563752888,0.00012726006552111357,0.001076771221754031,0.10230326693166386,0.1246939310557182,0.8322762984283638,0.0002506503106996768,1
