epoch,train_mse_norm,train_loss_total,val_mse_norm,val_mae_raw,val_rmse_raw,val_r2_raw,best_val_mse_norm,best_epoch
1,0.00038185785710811613,0.00038185785594396294,0.0003114608865867038,0.050897681984034444,0.06706336706661846,0.9514851699806677,0.0003114608865867038,1
10,0.00014787338301539422,0.0001478733825497329,0.0007049525374015285,0.07958437766541135,0.10089358076745057,0.8901927850442581,0.0003114608865867038,1
20,0.00013505123741924764,0.00013505123800132423,0.0008836141396943997,0.09028485891493884,0.11295746180393366,0.8623634888484828,0.0003114608865867038,1
30,0.00013279767334461212,0.00013279767392668874,0.0009268309299164617,0.09293959797783331,0.11568681267972467,0.8556318081723577,0.0003114608865867038,1
40,0.0001318619018420577,0.0001318619012599811,0.0009325445719793626,0.09332225932316346,0.11604285251312119,0.8547418204229786,0.0003114608865867038,1
50,0.00013064270187169313,0.00013064270152244716,0.0009570212582321501,0.09477336156097328,0.11755588870351094,0.8509291995638906,0.0003114608865867038,1
60,0.00013160713110119105,0.00013160713098477574,0.0010166892027630688,0.09889863919128071,0.12116514386529945,0.8416349982333662,0.0003114608865867038,1
70,0.0001291977893561125,0.0001291977893561125,0.000980177537041685,0.09626848541877488,0.11896959121927728,0.8473222525002113,0.0003114608865867038,1
80,0.00013136638700962067,0.00013136638689320536,0.001053740463490554,0.10129826082424685,0.12335320138854769,0.8358636937338024,0.0003114608865867038,1
90,0.000132320087403059,0.0001323200868209824,0.0012715219542450897,0.11443298696116971,0.1355019447067056,0.8019408724091035,0.0003114608865867038,1
100,0.00012913010735064745,0.00012913010723423213,0.0011790376381394139,0.10899813080375848,0.13048104649616027,0.8163467290304357,0.0003114608865867038,1
