epoch,train_mse_norm,val_mse_norm,val_mae_raw,val_rmse_raw,val_r2_raw,best_val_mse_norm,best_epoch
1,0.014819729504948956,0.09006494970084926,0.22182914147251528,0.27309848928046687,-0.44372082574828475,0.09006494970084926,1
5,0.011712516863214768,0.08711218578415182,0.2198452894781765,0.2685844393256171,-0.3963886862843353,0.08711218578415182,5
10,0.008518703613367122,0.08551004404224902,0.2150186030017702,0.2661031143586756,-0.37070671559242374,0.08551004404224902,10
15,0.008216324293891252,0.08547151115653388,0.21574344940875712,0.26604315136594986,-0.3700890421271317,0.08547151115653388,15
20,0.00796971978398703,0.08672378415600167,0.2184395897702167,0.26798501013971837,-0.3901626958054931,0.08547151115653388,15
25,0.0077519810805886475,0.08530988944934792,0.21642438407007014,0.26579149620144915,-0.3674982826215474,0.08530988944934792,25
30,0.00760779185694153,0.08485908121966733,0.21558266710293922,0.265088296908797,-0.3602719283986191,0.08485908121966733,30
35,0.0077279325795628255,0.0868822462725765,0.218283637699328,0.26822973015368856,-0.39270280778635924,0.08485908121966733,30
40,0.007243510793452546,0.08762865198788966,0.21958545024457732,0.2693794474550191,-0.4046675230194705,0.08485908121966733,30
45,0.007178131301524275,0.08745293167686834,0.21860853808490857,0.26910922080377453,-0.4018507660749424,0.08485908121966733,30
50,0.007158860532661616,0.0894894815447658,0.2213897542420186,0.2722246125302056,-0.4344962010274336,0.08485908121966733,30
55,0.006774976470712888,0.09015675315644618,0.22047443756931706,0.27323763885828956,-0.4451924144313535,0.08485908121966733,30
60,0.006492233345821752,0.08847571315893177,0.21910629208150662,0.2706782925668614,-0.4182457225008245,0.08485908121966733,30
