epoch,train_mse_norm,train_loss_total,val_mse_norm,val_mae_raw,val_rmse_raw,val_r2_raw,best_val_mse_norm,best_epoch
1,0.003934165954589844,0.004796535737812519,0.009939338071096027,0.07038968966765835,0.09072356836387452,0.9112140911312133,0.009939338071096027,1
10,0.0024919439554214476,0.002962398625910282,0.017133381536645717,0.09753461917692965,0.11911403464955887,0.8469512918420095,0.009939338071096027,1
20,0.002330708414316177,0.0028476677127182485,0.017197535827395652,0.0978628415817564,0.11933683177739525,0.8463782157506922,0.009939338071096027,1
30,0.0022728099972009657,0.0028030128851532937,0.016837950820107913,0.09660379278388889,0.11808262816405875,0.8495903090972776,0.009939338071096027,1
40,0.002299929603934288,0.0027729468168690803,0.019925097690100525,0.1074655510485172,0.1284522222352429,0.8220135088412521,0.009939338071096027,1
50,0.0021745302230119705,0.0026751277521252633,0.018348961474769287,0.102294107851657,0.12326708805377225,0.836092785084621,0.009939338071096027,1
60,0.0020674368292093277,0.0025836003627628086,0.01855865817192863,0.10343321055173876,0.12396945120542435,0.8342196108640744,0.009939338071096027,1
70,0.0021446259617805483,0.0026141661014407874,0.01778411914832422,0.10100898059931668,0.12135497133091534,0.8411383966698455,0.009939338071096027,1
80,0.0018064560443162919,0.002365509832277894,0.017241596790665333,0.10096534556963227,0.1194896075077241,0.8459846289100443,0.009939338071096027,1
90,0.0018146467208862305,0.002304987506940961,0.01781085040042931,0.10409825490279632,0.12144614121739526,0.8408996123065031,0.009939338071096027,1
100,0.0017335882782936096,0.002282332917675376,0.01815579266715759,0.10540279522538186,0.12261652379542162,0.8378183193230406,0.009939338071096027,1
