epoch,train_mse_norm,train_loss_total,val_mse_norm,val_mae_raw,val_rmse_raw,val_r2_raw,best_val_mse_norm,best_epoch
1,0.08812756028461766,0.08812756028461766,0.7490314032292079,0.7705245902321557,0.7875740631928573,-760.186686943603,0.7490314032292079,1
10,0.06338435107737768,0.06338435107737768,0.7638861743769838,0.7819896477460863,0.7953452967117995,-775.282521359268,0.7490314032292079,1
20,0.04884200557679325,0.04884200557679325,0.9534146602564019,0.8795930472287263,0.8885508877708278,-967.8866760396094,0.7490314032292079,1
30,0.045407540960745375,0.045407540960745375,0.9242862643813518,0.8623034843260591,0.8748722509796486,-938.2855844745253,0.7490314032292079,1
40,0.040484777572617696,0.040484777572617696,0.9958151763376676,0.8989572199095378,0.9080939089792545,-1010.975267814875,0.7490314032292079,1
50,0.03274519161454269,0.03274519161454269,1.0524811031312298,0.9250830211693589,0.9335735651264827,-1068.5607694275238,0.7490314032292079,1
60,0.02909370892085498,0.02909370892085498,1.0897231507160916,0.9416043501550502,0.9499472306965242,-1106.4071810651444,0.7490314032292079,1
70,0.02625450139695948,0.02625450139695948,1.1323103920399458,0.960148474709554,0.9683316764664259,-1149.6855282607592,0.7490314032292079,1
80,0.025434968156464906,0.025434968156464906,1.1682129750155046,0.9755069745941595,0.9835635030898306,-1186.1707384536364,0.7490314032292079,1
90,0.02844990919549744,0.02844990919549744,1.1834910756855093,0.9819583983854815,0.989974221773057,-1201.6967721842047,0.7490314032292079,1
100,0.03030450954646259,0.03030450954646259,1.1873027427909493,0.9835990419712932,0.9915671441234755,-1205.5702950341329,0.7490314032292079,1
