epoch,train_mse_norm,train_loss_total,val_mse_norm,val_mae_raw,val_rmse_raw,val_r2_raw,best_val_mse_norm,best_epoch
1,0.01587359802955288,0.01587359801376775,0.07155801657524581,0.20471458141740995,0.24342800481037724,-0.14705886276589086,0.07155801657524581,1
10,0.01406065835538557,0.014060658371170699,0.08250527459776846,0.21196572752375342,0.26138595580943524,-0.32254093925015614,0.07155801657524581,1
20,0.011570251341593467,0.01157025131002321,0.097243729328777,0.22846300953312926,0.2837737342622819,-0.5587950437067837,0.07155801657524581,1
30,0.010071560109065751,0.01007156012485088,0.11937238836850401,0.25569555004960615,0.31440781607326207,-0.9135124560592136,0.07155801657524581,1
40,0.009076291032261768,0.009076291032261768,0.1316260512083581,0.271316696813232,0.33015077314106256,-1.1099359070504748,0.07155801657524581,1
50,0.008574961542578067,0.008574961534685503,0.1395766154738737,0.28190036816032304,0.33997558040823284,-1.2373816586408597,0.07155801657524581,1
60,0.008429557716442366,0.008429557732227495,0.1442158531581099,0.28820069022868805,0.3455794380460602,-1.3117475921430124,0.07155801657524581,1
70,0.008306998948929674,0.008306998964714802,0.14314660976499943,0.2877419406646176,0.34429595923623035,-1.294607861764494,0.07155801657524581,1
80,0.008208033013141762,0.008208033013141762,0.14592693991330583,0.2916987666330839,0.3476235017115622,-1.3391759268208596,0.07155801657524581,1
90,0.008191857297541731,0.008191857293595449,0.14418015248779636,0.289858982390479,0.34553666126063115,-1.311175318451682,0.07155801657524581,1
100,0.00811948491481401,0.008119484922706576,0.14675478421489566,0.29333562962318716,0.34860814220031505,-1.3524460842200714,0.07155801657524581,1
