epoch,train_mse_norm,train_loss_total,val_mse_norm,val_mae_raw,val_rmse_raw,val_r2_raw,best_val_mse_norm,best_epoch
1,0.0039279632270336155,0.0039279632270336155,0.010373945810087387,0.07215073053132404,0.09268583778190366,0.9073318363138659,0.010373945810087387,1
10,0.002348290264606476,0.0023482902608811854,0.019887672457151787,0.10712399540977043,0.12833152988166,0.8223478201704586,0.010373945810087387,1
20,0.002249528393149376,0.002249528395012021,0.01970689021538002,0.10699384968389164,0.1277469208527399,0.8239627079555636,0.010373945810087387,1
30,0.0021999745965003968,0.0021999746011570095,0.019333189515173255,0.10562082491137764,0.12652989463962644,0.8273008936652586,0.010373945810087387,1
40,0.0021635187566280364,0.002163518760353327,0.02256044482825491,0.1161575708064166,0.13668322633841318,0.7984725356726041,0.010373945810087387,1
50,0.002053811237215996,0.0020538112334907055,0.019827759790412423,0.10759300695224243,0.12813808131246748,0.8228830067725398,0.010373945810087387,1
60,0.0019339683055877685,0.0019339683018624783,0.019072854443577245,0.10567179346626455,0.12567510001876392,0.8296264092857896,0.010373945810087387,1
70,0.0019511206299066544,0.0019511206308379769,0.019267351857241752,0.10692741896618495,0.12631426709988816,0.8278890069033262,0.010373945810087387,1
80,0.0017344546169042587,0.0017344546113163234,0.01765979831179785,0.10290547286922279,0.12093005822375096,0.8422489272085361,0.010373945810087387,1
90,0.0016709249764680861,0.0016709249736741186,0.017582858336577963,0.10403659239411352,0.12066633742896235,0.8429362149916235,0.010373945810087387,1
100,0.0016251436322927476,0.0016251436360180378,0.01890836597246012,0.10859873293475668,0.12513200174932954,0.8310957484210628,0.010373945810087387,1
