epoch,train_mse_norm,train_loss_total,val_mse_norm,val_mae_raw,val_rmse_raw,val_r2_raw,best_val_mse_norm,best_epoch
1,0.015516613499592926,0.01551661346802267,0.11463739907131391,0.24753993531591006,0.30810912055788775,-0.8376116458022331,0.11463739907131391,1
10,0.012213247307276322,0.012213247449342476,0.10089432568213172,0.2327050291864495,0.2890511911364028,-0.6173132797047471,0.10089432568213172,10
20,0.009607922727778807,0.009607922554142395,0.08994258639369054,0.22169144837479834,0.27291290880538266,-0.4417593695387463,0.08994258639369054,20
30,0.008148972513312,0.008148972513312,0.08274961837181674,0.21542525911017463,0.26177272389174056,-0.32645771482608366,0.08274961837181674,30
40,0.007507760645979542,0.007507760669657235,0.0782555150841048,0.21177713853748215,0.25456510373801666,-0.254418252959018,0.0782555150841048,40
50,0.007298485202304387,0.007298485360155671,0.07592730566684125,0.21007970206047355,0.25074967960639793,-0.21709758122632694,0.07592730566684125,50
60,0.007207019096713955,0.007207019207209854,0.07506575550628725,0.20940154078759643,0.24932298757787347,-0.20328712651170155,0.07506575550628725,60
70,0.007108895455376576,0.007108895392236063,0.07476381570084568,0.20905101046750418,0.24882105172567348,-0.198447099545759,0.07476381570084568,70
80,0.006989420217982793,0.0069894201311645875,0.074507455560441,0.20864775579226635,0.24839409000538068,-0.1943377043279375,0.074507455560441,80
90,0.006839735023045944,0.006839734983583123,0.07399125446846411,0.20794110840872715,0.24753213493470927,-0.18606311727452396,0.07399125446846411,90
100,0.006641316464391805,0.006641316369681035,0.07326462441130563,0.20686695065937538,0.2463136932348711,-0.17441540138039646,0.07326462441130563,100
110,0.0063728573968855,0.006372857499488835,0.07247363093620096,0.20533997123178682,0.2449804355010171,-0.16173595441648092,0.07247363093620096,110
120,0.006014700158167694,0.006014700102919744,0.07137589325093505,0.20301189220265334,0.24311803141910165,-0.14413946696280333,0.07137589325093505,120
130,0.005518745315276971,0.005518745291599278,0.07054338240827986,0.20005866458541469,0.24169603838767517,-0.13079450596305042,0.07054338240827986,130
140,0.004750802481578568,0.004750802442115747,0.07200198622013107,0.20042672306299208,0.24418199112320002,-0.1541755960172826,0.07054338240827986,130
150,0.00335922332133277,0.0033592233410641805,0.08486588554969886,0.21613049053832112,0.2650989245993005,-0.3603810002740204,0.07054338240827986,130
160,0.0020603062742847508,0.0020603063019087255,0.09708198932997995,0.23140229741209437,0.2835376436457007,-0.5562023880133604,0.07054338240827986,130
170,0.0018530828341589136,0.0018530828164006442,0.10616647494891078,0.24194149320062833,0.29650709587662993,-0.7018246430951014,0.07054338240827986,130
180,0.0018021856450428397,0.0018021856647742502,0.1082289427063328,0.24468173514855535,0.2993733245550013,-0.7348855359697954,0.07054338240827986,130
190,0.0017653525633327032,0.0017653525317624463,0.10980576749548862,0.24683121538475938,0.30154627516023824,-0.7601616816204821,0.07054338240827986,130
200,0.001730939152382188,0.0017309391405433416,0.11172022938373684,0.24937079133171783,0.3041636433774958,-0.7908500738013007,0.07054338240827986,130
210,0.0017020012867652763,0.0017020012690070069,0.1143902590991016,0.25276908142002,0.3077768242736383,-0.8336500478005369,0.07054338240827986,130
220,0.0016633422445442717,0.0016633422484905538,0.11508336573774071,0.25373504276338377,0.30870784759611003,-0.8447603908584231,0.07054338240827986,130
230,0.0016312476689532651,0.0016312476728995472,0.11637281591282489,0.255403300853152,0.3104324867944884,-0.8654299862750314,0.07054338240827986,130
