epoch,train_mse_norm,train_loss_total,val_mse_norm,val_mae_raw,val_rmse_raw,val_r2_raw,best_val_mse_norm,best_epoch
1,0.037869083772011855,0.03786908373783488,0.3186579249594341,0.4297835820502247,0.5136931259603416,-29.807317810555336,0.3186579249594341,1
10,0.01904829215565953,0.019048292172748015,0.43281828579631393,0.5152126910563173,0.5986792316991858,-40.84415148766269,0.3186579249594341,1
20,0.01661741200390212,0.016617412055167584,0.42132483265626114,0.5108672147167139,0.5906768100430638,-39.732983567795614,0.3186579249594341,1
30,0.014895195261054083,0.014895195261054083,0.4283145619108901,0.5176405490677932,0.59555628509689,-40.408738958421814,0.3186579249594341,1
40,0.013362978166396465,0.013362978149307977,0.4546909937955744,0.5375778050258242,0.6136200876455359,-42.958768492077304,0.3186579249594341,1
50,0.0120739574552676,0.01207395741254638,0.43515226597910095,0.5292068004813687,0.6002912555229282,-41.06979680705593,0.3186579249594341,1
60,0.010864909499063404,0.010864909524696136,0.45251263181070117,0.5426119751354744,0.6121484382095911,-42.748168081047304,0.3186579249594341,1
70,0.00944566357573238,0.009445663618453599,0.4656337671322449,0.5545360661580645,0.6209600007747778,-44.016697605105314,0.3186579249594341,1
80,0.008309479905377835,0.0083094799181942,0.45615026248538504,0.5487542693368319,0.6146039638369958,-43.09984816020014,0.3186579249594341,1
90,0.008439944834884154,0.008439944869061128,0.45490270314714254,0.5421139151885591,0.613762925302717,-42.979236199817684,0.3186579249594341,1
100,0.005884469307343894,0.005884469285983285,0.4490368750467861,0.5328922948344,0.6097929453726433,-42.41213770216453,0.3186579249594341,1
