epoch,train_mse_norm,train_loss_total,val_mse_norm,val_mae_raw,val_rmse_raw,val_r2_raw,best_val_mse_norm,best_epoch
1,0.00015967409126460552,0.00015967409103177487,0.0008368906523167453,0.08740936314517801,0.10993043718394739,0.869641391614634,0.0008368906523167453,1
10,0.00013770320359617473,0.0001377032034797594,0.0010104523736244647,0.0969056825068864,0.1207929313955799,0.8426064804275991,0.0008368906523167453,1
20,0.00013346481043845416,0.00013346481043845416,0.000988521571113631,0.09613844745538452,0.11947489898250942,0.846022540683706,0.0008368906523167453,1
30,0.00013325450662523509,0.0001332545068580657,0.001085985813138235,0.10217824022878301,0.12522633565554858,0.8308409839026735,0.0008368906523167453,1
40,0.0001344109009951353,0.0001344109015772119,0.0011039026903293494,0.10342541607943448,0.12625511810756745,0.8280501543351793,0.0008368906523167453,1
50,0.00013243454974144698,0.0001324345504399389,0.001108220435068752,0.10391586842862043,0.126501790826821,0.8273775990927069,0.0008368906523167453,1
60,0.00012943010684102774,0.00012943010742310433,0.0009607236071695284,0.09418568895621732,0.11778305857604475,0.8503525016955399,0.0008368906523167453,1
70,0.00013367879670113326,0.0001336787970503792,0.0009299952906167697,0.0927424279126254,0.1158841317718097,0.8551389102577024,0.0008368906523167453,1
80,0.00013068718928843737,0.0001306871899869293,0.0009565809117850967,0.09445703056725586,0.11752884057190725,0.8509977903049706,0.0008368906523167453,1
90,0.00012958406563848258,0.0001295840652892366,0.001059180775952906,0.10128452039577746,0.1236712189830761,0.8350162812793671,0.0008368906523167453,1
100,0.0001319821011275053,0.00013198210124392063,0.0011182217962322015,0.10474116924134168,0.12707132932960524,0.8258197330565437,0.0008368906523167453,1
